question,query
Çiftliklerden koyun sayısı 5 olan çiftliklerin at sayılarını göster.,SELECT at_sayisi WHERE koyun_sayisi EQL 5
Veritabanındaki tüm restoranların adlarını yazdır.,SELECT ad
Veritabanındaki kodu 5090 olan ürünlerin kodlarını yazdır.,SELECT kod WHERE kod EQL 5090
Kapasitesi 140 olan sinemaların numaralarını getir.,SELECT numara WHERE kapasite EQL 140
Mağazalar tablosundaki en büyük numarayı getir.,SELECT max(numara)
Mimarların numaralarını getir.,SELECT numara
Toplam şarkı sayısını bastır.,SELECT count(numara)
Tüm arabaların yıllarını listele.,SELECT yil
Koyun sayısı 5 olan çiftliklerin keçi sayılarını getir.,SELECT keci_sayisi WHERE koyun_sayisi EQL 5
Numarası 1 olan trenlerin varışlarını getir.,SELECT varis WHERE numara EQL 1
Yayıncısı Elsevier olan yayınların alıntılarını bul.,SELECT alinti WHERE yayinci EQL Elsevier
Sürücülerin adlarını getir.,SELECT ad
Uçuşlar tablosundan mesafesi 350 olan uçuşların varış tarihlerini getir.,SELECT varis_tarihi WHERE mesafe EQL 350
Yarışlardan turu 4 olan yarışların tarihlerini göster.,SELECT tarih WHERE tur EQL 4
Köprüler tablosunda uzunluğu 1510 olan köprülerin uzunluklarını getir.,SELECT uzunluk WHERE uzunluk EQL 1510
Müze tablosu içerisinde bulunan personel sayılarını ekrana getir.,SELECT personel_sayisi
Tüm personellerin soyadlarını getir.,SELECT soyad
Müşteriler tablosundan şehiri Istanbul olan müşterilerin numaralarını getir.,SELECT numara WHERE sehir EQL Istanbul
Restoranlar tablosunda adı Burger King olan restoranların derecelerini getir.,SELECT derece WHERE ad EQL Burger King
Tüm departmanların numaralarını görüntüle.,SELECT numara
Stadyumlardan adı Camp Nou olan stadyumların adlarını göster.,SELECT ad WHERE ad EQL Camp Nou
Açılış yılı 1957 olan stadyumların adlarını listele.,SELECT ad WHERE acilis_yili EQL 1957
Tüm trenlerin sadece numaralarını göster.,SELECT numara
Adı Camp Nou olan stadyumların kapasitelerini getir.,SELECT kapasite WHERE ad EQL Camp Nou
Veritabanındaki tüm kitapların kategorilerini yazdır.,SELECT kategori
Havalimanları tablosunda numarası 1 olan havalimanlarının uluslararası yolcularını getir.,SELECT uluslararasi_yolcu WHERE numara EQL 1
Başlığı Artificial Intelligence olan yayınların numaralarını bul.,SELECT numara WHERE baslik EQL Artificial Intelligence
Mağazalar tablosunda adı A Giyim olan mağazaların konumlarını getir.,SELECT konum WHERE ad EQL A Giyim
Müşterilerden numarası 1 olan müşterilerin kodlarını göster.,SELECT kod WHERE numara EQL 1
Havalimanları tablosunda numarası 1 olan havalimanlarının numaralarını getir.,SELECT numara WHERE numara EQL 1
Mağazalar tablosunda adı A Giyim olan mağazaların numaralarını getir.,SELECT numara WHERE ad EQL A Giyim
Araba tablosu içinde kaç tane araba kaydı olduğunu ekrana getir.,SELECT count(numara)
Numarası 1 olan öğretmenlerin numaralarını bul.,SELECT numara WHERE numara EQL 1
Köprülerden uzunluğu 1510 olan köprülerin adlarını getir.,SELECT ad WHERE uzunluk EQL 1510
Yüzücülerden numarası 1 olan yüzücülerin uyruklarını getir.,SELECT uyruk WHERE numara EQL 1
Ülkesi Amerika olan telefonların ülkelerini bul.,SELECT ulke WHERE ulke EQL Amerika
Yaşı 36 olan öğretmenlerin numaralarını listele.,SELECT numara WHERE yas EQL 36
Öğretmenler tablosunda şehiri Londra olan öğretmenlerin adlarını getir.,SELECT ad WHERE sehir EQL Londra
Havalimanlarından uluslararası yolcusu 35858 olan havalimanlarının toplam uçaklarını göster.,SELECT toplam_ucak WHERE uluslararasi_yolcu EQL 35858
Çiftlikler tablosundan domuz sayısı 2 olan çiftliklerin numaralarını getir.,SELECT numara WHERE domuz_sayisi EQL 2
Veritabanındaki numarası 1 olan stadyumların kapasitelerini yazdır.,SELECT kapasite WHERE numara EQL 1
Soyadı Garcia olan çalışanların cinsiyetlerini listele.,SELECT cinsiyet WHERE soyad EQL Garcia
Yarışlar tablosundan yılı 2005 olan yarışların tarihlerini getir.,SELECT tarih WHERE yil EQL 2005
Cinsiyeti Male olan tüm personellerin adlarını getir.,SELECT ad WHERE cinsiyet EQL Male
Veritabanındaki kredisi 4 olan derslerin kredilerini yazdır.,SELECT kredi WHERE kredi EQL 4
Adı Michael olan tüm insanların boylarını getir.,SELECT boy WHERE ad EQL Michael
Havalimanlarından numarası 1 olan havalimanlarının numaralarını göster.,SELECT numara WHERE numara EQL 1
Personellerden numarası 1 olan personellerin cinsiyetlerini göster.,SELECT cinsiyet WHERE numara EQL 1
Kilosu 82 olan insanların adlarını getir.,SELECT ad WHERE kilo EQL 82
Numarası 1 olan hemşirelerin adlarını listele.,SELECT ad WHERE numara EQL 1
Veritabanındaki numarası 1 olan şarkıların sanatçılarını yazdır.,SELECT sanatci WHERE numara EQL 1
Yaşı 36 olan öğretmenlerin yaşlarını bul.,SELECT yas WHERE yas EQL 36
Müşterilerden telefonu 2122121212 olan müşterilerin numaralarını getir.,SELECT numara WHERE telefon EQL 2122121212
Veritabanındaki adı Formula A olan yarışların adlarını yazdır.,SELECT ad WHERE ad EQL Formula A
Sinemalardan adı Cinemaximum olan sinemaların yerlerini göster.,SELECT yer WHERE ad EQL Cinemaximum
Arabalar tablosunda numarası 1 olan arabaların modellerini getir.,SELECT model WHERE numara EQL 1
Numarası 1 olan uçakların numaralarını bul.,SELECT numara WHERE numara EQL 1
Numarası 1 olan tüm havalimanlarının iç yolcularını getir.,SELECT ic_yolcu WHERE numara EQL 1
Numarası 1 olan tüm arabaların ülkelerini getir.,SELECT ulke WHERE numara EQL 1
Araba tablosu içerisinde bulunan numaraları ekrana getir.,SELECT numara
Uyruğu Alman olan oyuncuların uyruklarını getir.,SELECT uyruk WHERE uyruk EQL Alman
Cihazlar tablosunda cihazı Apple olan cihazların işletim sistemlerini getir.,SELECT isletim_sistemi WHERE cihaz EQL Apple
Adı Formula A olan yarışların numaralarını getir.,SELECT numara WHERE ad EQL Formula A
Numarası 1 olan pilotların cinsiyetlerini getir.,SELECT cinsiyet WHERE numara EQL 1
En büyük hasta numarasını göster.,SELECT max(numara)
Yüzücülerden uyruğu Amerika olan yüzücülerin adlarını getir.,SELECT ad WHERE uyruk EQL Amerika
Adı Michael Phelps olan yüzücülerin uyruklarını bul.,SELECT uyruk WHERE ad EQL Michael Phelps
Oyunculardan numarası 1 olan oyuncuların adlarını getir.,SELECT ad WHERE numara EQL 1
Numarası 1 olan arabaların numaralarını getir.,SELECT numara WHERE numara EQL 1
Tüm kulüpleri say.,SELECT count(numara)
Numarası 1 olan demiryollarının konumlarını listele.,SELECT konum WHERE numara EQL 1
Mağazalar tablosundan açılış yılı 2020 olan mağazaların adlarını getir.,SELECT ad WHERE acilis_yili EQL 2020
Müşteri tablosu içerisinde bulunan e-postaları ekrana getir.,SELECT eposta
Veritabanındaki kayıdı 01/05/2015 olan hemşirelerin numaralarını yazdır.,SELECT numara WHERE kayit EQL 01/05/2015
Tüm sanatçıların cinsiyetlerini listele.,SELECT cinsiyet
Sanatçı tablosu içinde kaç tane sanatçı kaydı olduğunu ekrana getir.,SELECT count(numara)
Numarası 1 olan mimarların uyruklarını listele.,SELECT uyruk WHERE numara EQL 1
Personeller tablosunda soyadı Taylor olan personellerin numaralarını getir.,SELECT numara WHERE soyad EQL Taylor
Numarası 1 olan derslerin numaralarını bul.,SELECT numara WHERE numara EQL 1
Toplam araba sayısını göster.,SELECT count(numara)
Kodu 5090 olan ürünlerin kodlarını listele.,SELECT kod WHERE kod EQL 5090
Numarası 1 olan şarkıların adlarını getir.,SELECT ad WHERE numara EQL 1
Restoranlar tablosundan derecesi 2/5 olan restoranların derecelerini getir.,SELECT derece WHERE derece EQL 2/5
En büyük uçuş numarasını göster.,SELECT max(numara)
Yayınlardan en büyük numarayı getir.,SELECT max(numara)
Yöneticiler tablosundan numarası 1 olan yöneticilerin ülkelerini getir.,SELECT ulke WHERE numara EQL 1
Veritabanındaki adı James olan yazarların adlarını yazdır.,SELECT ad WHERE ad EQL James
Bütün dergilerin numaralarını getir.,SELECT numara
Filmler tablosundan yönetmeni Frank Darabont olan filmlerin numaralarını getir.,SELECT numara WHERE yonetmen EQL Frank Darabont
Sürücülerin tiplerini göster.,SELECT tip
Restoranlar tablosundan derecesi 2/5 olan restoranların numaralarını getir.,SELECT numara WHERE derece EQL 2/5
Yayıncısı Elsevier olan yayınların alıntılarını listele.,SELECT alinti WHERE yayinci EQL Elsevier
Veritabanındaki tüm ürünlerin fiyatlarını yazdır.,SELECT fiyat
Restoranlar tablosunda numarası 1 olan restoranların derecelerini getir.,SELECT derece WHERE numara EQL 1
Veritabanındaki numarası 20202020 olan sürücülerin numaralarını yazdır.,SELECT numara WHERE kod EQL 20202020
Konumu Omaha - Nebraska - ABD olan demiryollarının demiryollarını listele.,SELECT demiryolu WHERE konum EQL Omaha - Nebraska - ABD
Mağazalardan konumu Kadikoy olan mağazaların açılış yıllarını getir.,SELECT acilis_yili WHERE konum EQL Kadikoy
Pilotlar tablosundan adı Robert olan pilotların cinsiyetlerini getir.,SELECT cinsiyet WHERE ad EQL Robert
Boğa sayısı 5 olan çiftliklerin inek sayılarını listele.,SELECT inek_sayisi WHERE boga_sayisi EQL 5
Kayıdı 01/05/2015 olan tüm hemşirelerin adlarını getir.,SELECT ad WHERE kayit EQL 01/05/2015
En büyük konferans numarasını göster.,SELECT max(numara)
Oyunlar tablosundan numarası 1 olan oyunların numaralarını getir.,SELECT numara WHERE numara EQL 1
Şarkılardan dili Turkce olan şarkıların çıkış tarihlerini getir.,SELECT cikis_tarihi WHERE dil EQL Turkce
Bütün öğrencilerin numaralarını göster.,SELECT numara
Ülkesi America olan yöneticilerin düzeylerini getir.,SELECT duzey WHERE ulke EQL America
Restoranlardan tipi Fast Food olan restoranların derecelerini getir.,SELECT derece WHERE tip EQL Fast Food
Tüm yüzücülerin uyruklarını listele.,SELECT uyruk
Veritabanındaki yılı 2005 olan yarışların yıllarını yazdır.,SELECT yil WHERE yil EQL 2005
Veritabanındaki toplam uçağı 660 olan havalimanlarının iç yolcularını yazdır.,SELECT ic_yolcu WHERE toplam_ucak EQL 660
Adı Joseph olan personellerin soyadlarını listele.,SELECT soyad WHERE ad EQL Joseph
Veritabanındaki adı Istanbul Sokaklari olan şarkıların türlerini yazdır.,SELECT tur WHERE ad EQL Istanbul Sokaklari
Uyruğu Ingiliz olan sürücülerin tiplerini getir.,SELECT tip WHERE uyruk EQL Ingiliz
Veritabanındaki varışı Ankara olan uçuşların kalkış tarihlerini yazdır.,SELECT kalkis_tarihi WHERE varis EQL Ankara
Tüm köprülerin sadece numaralarını göster.,SELECT numara
Tüm uçuşların numaralarını getir.,SELECT numara
Tüm cihazların işletim sistemlerini getir.,SELECT isletim_sistemi
Müşteriler tablosunda telefonu 2122121212 olan müşterilerin telefonlarını getir.,SELECT telefon WHERE telefon EQL 2122121212
Çalışanlar tablosunda soyadı Garcia olan çalışanların soyadlarını getir.,SELECT soyad WHERE soyad EQL Garcia
Çip modeli A15 olan telefonların modellerini getir.,SELECT model WHERE cip_modeli EQL A15
Havalimanlarından numarası 1 olan havalimanlarının toplam uçaklarını getir.,SELECT toplam_ucak WHERE numara EQL 1
Hemşirelerden kayıdı 01/05/2015 olan hemşirelerin kayıtlarını getir.,SELECT kayit WHERE kayit EQL 01/05/2015
Ürünlerden kodu 5090 olan ürünlerin numaralarını göster.,SELECT numara WHERE kod EQL 5090
Yayın sayısını getir.,SELECT count(numara)
Veritabanındaki tüm stadyumların kapasitelerini yazdır.,SELECT kapasite
Numarası 1 olan oyunların numaralarını getir.,SELECT numara WHERE numara EQL 1
Numarası 1 olan tüm mağazaların numaralarını getir.,SELECT numara WHERE numara EQL 1
Numarası 1 olan insanların kilolarını bul.,SELECT kilo WHERE numara EQL 1
Uçuşlardan kalkış tarihi 19/05/2022 13:00 olan uçuşların başlangıçlarını getir.,SELECT baslangic WHERE kalkis_tarihi EQL 19/05/2022 13:00
Varışı 23:39 olan trenlerin adlarını getir.,SELECT ad WHERE varis EQL 23:39
Konumu Beykoz/Istanbul olan köprülerin adlarını bul.,SELECT ad WHERE konum EQL Beykoz/Istanbul
Personellerden cinsiyeti Male olan personellerin numaralarını getir.,SELECT numara WHERE cinsiyet EQL Male
Hemşireler tablosundan pozisyonu Clinical Nurse olan hemşirelerin kayıtlarını getir.,SELECT kayit WHERE pozisyon EQL Clinical Nurse
Tüm şehirlerin adlarını görüntüle.,SELECT ad
Çiftlikler tablosundan at sayısı 2 olan çiftliklerin keçi sayılarını getir.,SELECT keci_sayisi WHERE at_sayisi EQL 2
Telefonların modellerini getir.,SELECT model
Restoranlar tablosunda numarası 1 olan restoranların adlarını getir.,SELECT ad WHERE numara EQL 1
Öğrenciler tablosunda yaşı 16 olan öğrencilerin adlarını getir.,SELECT ad WHERE yas EQL 16
Oyunlardan kategorisi Survival olan oyunların adlarını getir.,SELECT ad WHERE kategori EQL Survival
Bütün cihazların cihazlarını göster.,SELECT cihaz
Cinsiyeti Male olan personellerin adlarını listele.,SELECT ad WHERE cinsiyet EQL Male
Çiftliklerden en büyük numarayı getir.,SELECT max(numara)
Stokların miktarlarını göster.,SELECT miktar
Hemşireler tablosunda pozisyonu Clinical Nurse olan hemşirelerin adlarını getir.,SELECT ad WHERE pozisyon EQL Clinical Nurse
Bütün stadyumların numaralarını getir.,SELECT numara
Soyadı Smith olan tüm öğrencilerin cinsiyetlerini getir.,SELECT cinsiyet WHERE soyad EQL Smith
Tüm hemşirelerin pozisyonlarını getir.,SELECT pozisyon
Kilosu 82 olan tüm insanların numaralarını getir.,SELECT numara WHERE kilo EQL 82
Numarası 1 olan köprülerin uzunluklarını listele.,SELECT uzunluk WHERE numara EQL 1
Adı AI Conference olan tüm konferansların adlarını getir.,SELECT ad WHERE ad EQL AI Conference
Çalışanların adlarını göster.,SELECT ad
Havalimanlarından adı Istanbul Sabiha Gokcen Havalimani olan havalimanlarının toplam uçaklarını göster.,SELECT toplam_ucak WHERE ad EQL Istanbul Sabiha Gokcen Havalimani
Toplam uçağı 660 olan tüm havalimanlarının toplam uçaklarını getir.,SELECT toplam_ucak WHERE toplam_ucak EQL 660
Tüm çalışanların maaşlarını listele.,SELECT maas
E-postası ****@gmail.com olan müşterilerin şehirlerini listele.,SELECT sehir WHERE eposta EQL ****@gmail.com
Kurucusu Union Pacific Corporation olan demiryollarının demiryollarını listele.,SELECT demiryolu WHERE kurucu EQL Union Pacific Corporation
Numarası 1 olan sürücülerin soyadlarını bul.,SELECT soyad WHERE numara EQL 1
Bütün personellerin e-postalarını göster.,SELECT eposta
Stadyumların şehirlerini göster.,SELECT sehir
Veritabanındaki ülkesi Almanya olan arabaların modellerini yazdır.,SELECT model WHERE ulke EQL Almanya
Stadyumlardan numarası 1 olan stadyumların şehirlerini göster.,SELECT sehir WHERE numara EQL 1
Derslerden kredisi 4 olan derslerin numaralarını göster.,SELECT numara WHERE kredi EQL 4
Stadyumlardan numarası 1 olan stadyumların açılış yıllarını göster.,SELECT acilis_yili WHERE numara EQL 1
Numarası 1 olan insanların doğum tarihlerini getir.,SELECT dogum_tarihi WHERE numara EQL 1
Numarası 1 olan ürünlerin kodlarını bul.,SELECT kod WHERE numara EQL 1
Başlığı Artificial Intelligence olan yayınların yıllarını bul.,SELECT yil WHERE baslik EQL Artificial Intelligence
Hızı 905 olan uçakların toplam yolcularını bul.,SELECT toplam_yolcu WHERE hiz EQL 905
Numarası 1 olan tüm cihazların cihazlarını getir.,SELECT cihaz WHERE numara EQL 1
Çalışanlar tablosunda maaşı 80000 olan çalışanların maaşlarını getir.,SELECT maas WHERE maas EQL 80000
Restoranlar tablosundaki en büyük numarayı göster.,SELECT max(numara)
Miktarı 100 olan tüm stokların miktarlarını getir.,SELECT miktar WHERE miktar EQL 100
Çıkış tarihi 1900 olan şarkıların ülkelerini bul.,SELECT ulke WHERE cikis_tarihi EQL 1900
Bütün cihazların cihazlarını getir.,SELECT cihaz
Veritabanındaki boyu 1.80 olan insanların doğum tarihlerini yazdır.,SELECT dogum_tarihi WHERE boy EQL 1.80
Öğrenciler tablosunda soyadı Smith olan öğrencilerin yaşlarını getir.,SELECT yas WHERE soyad EQL Smith
Pilotlar tablosunda cinsiyeti Male olan pilotların cinsiyetlerini getir.,SELECT cinsiyet WHERE cinsiyet EQL Male
Veritabanındaki tüm stadyumların açılış yıllarını yazdır.,SELECT acilis_yili
Veritabanındaki varış tarihi 19/05/2022 14:00 olan uçuşların varışlarını yazdır.,SELECT varis WHERE varis_tarihi EQL 19/05/2022 14:00
Tüm hastaların telefonlarını getir.,SELECT telefon
Adı MATH101 olan derslerin adlarını getir.,SELECT ad WHERE ad EQL MATH101
Numarası 1 olan uçuşların varış tarihlerini listele.,SELECT varis_tarihi WHERE numara EQL 1
Toplam yarış sayısı nedir?,SELECT count(numara)
Köprülerden uzunluğu 1510 olan köprülerin konumlarını getir.,SELECT konum WHERE uzunluk EQL 1510
Tüm uçakların sadece açıklamalarını göster.,SELECT aciklama
Varışı 23:39 olan trenlerin numaralarını getir.,SELECT numara WHERE varis EQL 23:39
